桥梁名称,建造时代/时间,所属省份,所属市区/具体地址,批次,分类
万年桥 和 聚星塔,明至清,,江西省抚州市南城县,第七批,
太平桥,清,,江西省赣州市龙南县,第七批,
永镇桥,清,,江西省赣州市安远县,第七批,
玉带桥,清,,江西省赣州市信丰县,第七批,
平阴永济桥,明,,山东省济南市平阴县,第七批,
大汶口古石桥,明至清,,山东省泰安市岱岳区,第七批,
光山永济桥,明至清,,河南省信阳市光山县,第七批,
兵书阁与文星桥,清,,湖南省怀化市通道侗族自治县,第七批,
广利桥,清,,湖南省永州市东安县,第七批,
安化风雨桥,清、民国,,湖南省益阳市安化县,第七批,
富川瑶族风雨桥群,明至清,,广西壮族自治区贺州市富川瑶族自治县,第七批,
惠爱桥,清,,广西壮族自治区北海市合浦县,第七批,
泸县龙桥群,明至清,,四川省泸县,第七批,
金勾风雨桥,清,,贵州省黔东南苗族侗族自治州从江县,第七批,
沘江古桥梁群,明至民国,,云南省大理白族自治州云龙县,第七批,
星宿桥和丰裕桥,清,,云南省楚雄彝族自治州禄丰县,第七批,
桥上桥,清,,陕西省渭南市华县,第七批,
毓秀桥,清,,陕西省渭南市韩城市,第七批,
五家寨铁路桥,清,,云南省屏边苗族自治县,第六批,
兰州黄河铁桥,清,,甘肃省兰州市,第六批,
滦河铁桥,清,,河北省唐山市滦县,第七批,
提篮桥监狱早期建筑,1903年,,上海市虹口区,第七批,
平安桥天主教堂,1904年,,四川省成都市,第七批,
德清古桥群,宋、元、明,,浙江省湖州市德清县,第七批,
绍兴古桥群,元至民国,,浙江省绍兴市绍兴县,第七批,
处州廊桥,明至民国,,浙江省丽水市庆元县、龙泉市、景宁畲族自治县、青田县、松阳县,第七批,
