序号,名称/代表村落,时代,省份,市县,经度(E),纬度(N),民居类型,主体材料,屋顶形制,院落格局
21,开平碉楼(自力村),民国,广东,开平市,112°34',22°22',侨乡/碉楼,砖石/混凝土,平顶/西式,单体塔楼
22,广州陈家祠,清,广东,广州市荔湾区,113°15',23°08',岭南/广府,砖木,硬山(镬耳),三进三路
23,佛山祖庙民居群,明清,广东,佛山市禅城区,113°07',23°02',岭南/广府,砖木,硬山(镬耳),三间两廊
24,大旗头村,清,广东,佛山市三水区,112°53',23°21',岭南/广府,砖木,硬山(镬耳),梳式布局
25,上岳古村,明清,广东,清远市佛冈县,113°33',23°52',岭南/广府,砖木,硬山(镬耳),广府民居
26,周庄(沈厅),明清,江苏,昆山市,120°51',31°07',江南水乡,砖木,硬山,临水天井院
27,同里(退思园),清,江苏,苏州市吴江区,120°43',31°10',江南水乡,砖木,硬山,宅园合一
28,乌镇,明清,浙江,桐乡市,120°29',30°45',江南水乡,砖木,硬山,临水沿河
29,南浔(张石铭旧宅),清末民初,浙江,湖州市南浔区,120°25',30°53',江南水乡/中西合璧,砖木,硬山,多进合院
30,绍兴台门(斯盛居),清,浙江,诸暨市,120°17',29°43',浙中/台门,砖木,硬山,多进合院
31,诸葛村,明清,浙江,兰溪市,119°16',29°15',浙西/徽派融合,砖木,硬山,天井式
32,婺源理坑村,明清,江西,婺源县,117°49',29°28',徽派(赣北),砖木,硬山(马头墙),天井式
33,钓源古村,明清,江西,吉安市吉州区,115°00',27°07',赣派,砖木,硬山,太极布局聚落
34,流坑村,明清,江西,乐安县,115°47',27°22',赣派,砖木,硬山,棋盘式聚落
35,总门里建筑群,清,江西,抚州市东乡区,116°36',28°15',赣派,砖木,硬山,多进合院
36,地坑院(典型),明清-现代,河南,三门峡市陕州区,111°11',34°45',窑洞/地坑院,黄土/砖,平顶,地下四合院
37,康百万庄园,明清,河南,巩义市,112°58',34°47',中原/庄园,砖石/木,硬山,城堡式庄园
38,延安窑洞(典型),近代,陕西,延安市宝塔区,109°29',36°35',窑洞/靠崖式,黄土,拱券,依山单体
39,关中民居(典型),明清,陕西,咸阳市礼泉县,108°25',34°29',关中/窄院,砖木/夯土,硬山,窄院四合院
40,党家村,明清,陕西,韩城市,110°26',35°28',关中/北方合院,砖木/石,硬山,四合院聚落
41,丽江古城民居,明清,云南,丽江市古城区,100°14',26°52',纳西族/三坊一照壁,木/土坯,悬山,三合院+照壁
42,大理白族民居(典型),明清,云南,大理市喜洲镇,100°07',25°52',白族/三坊一照壁,砖木/石,硬山,三合院/四合院
43,和顺古镇,明清,云南,腾冲市,98°27',25°01',西南/合院式,砖木/石,硬山/悬山,三合院/四合院
44,西江千户苗寨,清-现代,贵州,雷山县,108°10',26°30',苗族/干栏式,木,歇山/悬山,依山聚落
45,肇兴侗寨,明清,贵州,黎平县,109°10',26°04',侗族/干栏式,木,悬山/歇山,聚落+鼓楼
46,桃坪羌寨,明清,四川,理县,103°26',31°32',羌族/碉楼,石/夯土,平顶,碉楼聚落
47,重庆吊脚楼(洪崖洞),近代,重庆,渝中区,106°35',29°33',巴渝/干栏式,木,悬山,依山吊脚
48,丹巴藏寨(甲居),近代,四川,丹巴县,101°54',30°55',藏族/碉房,石/木,平顶,碉楼式单体
49,蒙古包(典型),传统,内蒙古,锡林浩特市,116°04',43°57',草原/毡帐,毛毡/木,穹顶,圆形单体
50,朝鲜族民居(典型),近代,吉林,延边州安图县,128°54',42°52',朝鲜族/满屋炕,木/砖,歇山/硬山,U型/单体
51,西递、宏村,明、清,安徽,黟县,117°38',30°11',徽派,砖木,硬山 (马头墙),天井式三合院/四合院
52,北京四合院,元、明、清,北京,城区,116°23',39°54',晋派 (北方四合院),砖木,硬山/卷棚,四合院 (中轴对称)
53,福建土楼,明、清,福建,永定/南靖,117°03',24°40',闽南 (客家土楼),夯土/木,悬山 (青瓦),圆形/方形聚落
54,围龙屋,明、清,广东/福建,梅州/龙岩,116°06',24°18',客家 (围龙屋),夯土/木,悬山,半圆形围合
55,镬耳屋,清,广东,珠江三角洲,113°14',23°08',岭南 (广府),砖木,硬山 (镬耳墙),三合院/四合院
56,苗族/土家族村落,清、现代,重庆/贵州/广西,彭水县/西江,108°14',29°15',干栏式 (吊脚楼),木/竹,歇山/悬山,依山聚落 (单体)
57,下沉式地坑院,历代,河南/陕西/山西,三门峡/延安,111°11',34°45',窑洞,黄土/砖,平顶/拱券,地下四合院
58,周庄/乌镇,明、清,江苏/浙江,苏州/嘉兴,120°51',30°55',江南水乡,砖木,硬山 (观音兜),临水天井院
59,丽江古城,明、清,云南,丽江,100°14',26°52',西南合院 (三坊一照壁),木/土坯,悬山,三合院+照壁
60,藏族民居,近代,西藏/青海,拉萨/同仁,91°08',29°39',藏族碉房,石/夯土,平顶,单体/碉楼式
61,下山虎（典型）,明清-现代,广东,潮汕地区全域,116°38',23°40',潮汕/三合院,砖木,硬山,三合院（三间两伸手）
62,四点金（典型）,明清-现代,广东,潮汕地区全域,116°38',23°40',潮汕/四合院,砖木,硬山,四合院（天井式）
63,驷马拖车（典型）,明清,广东,潮汕地区全域,116°38',23°40',潮汕/大型府第,砖木/石,硬山,多进多路合院群
64,东里古寨,清乾隆,广东,汕头市潮南区,116°26',23°15',潮汕/方寨,砖木/石,硬山（五行山墙）,城堡式聚落
65,陈慈黉故居,清末-民国,广东,汕头市澄海区,116°48',23°32',潮汕/侨宅,砖木/钢筋混凝土,硬山/西式平顶,驷马拖车+中西合璧
66,龙湖古寨,宋-明清,广东,潮州市潮安区,116°39',23°33',潮汕/聚落,砖木,硬山,三街六巷聚落
67,竹竿厝（典型）,明清,广东,潮州市饶平县,117°00',23°40',潮汕/窄院,石/砖木,硬山,纵向单开间
68,小公园骑楼（近代）,1920-30年代,广东,汕头市金平区,116°40',23°21',骑楼/商住,砖混结构,平顶（山花装饰）,沿街连续柱廊
